Type;Rent;Move in price;Address;Link
3 room apartment of 74 m²;12.000;48.800,-;Rismosevej, 2400 København, København NV - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/74m2-3-room-id-5226605;
3 room apartment of 85 m²;14.500;73.500,-;Kristineberg, 2100 København, København Ø - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/85m2-3-room-id-5220722;
2 room apartment of 53 m²;8.150;41.400,-;Ungarnsgade, 2300 København, København S - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/53m2-2-room-id-5226578;
3 room apartment of 81 m²;14.400;58.750,-;Lyngbyvej , 2100 København, København Ø - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/81m2-3-room-id-5226583;
3 room apartment of 83 m²;13.900;70.350,-;Nadine Gordimers Vej, 2300 København, København S - 5th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/83m2-3-room-id-5226526;
3 room apartment of 96 m²;13.695;69.525,-;Peter Holms Vej, 2450 København, København SV - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/96m2-3-room-id-5226485;
2 room apartment of 78 m²;11.900;24.700,-;Ørestads Boulevard, 2300 København, København S - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/78m2-2-room-id-5226453;
2 room apartment of 58 m²;9.900;40.200,-;Grækenlandsvej, 2300 København, København S - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/58m2-2-room-id-4952289;
3 room apartment of 79 m²;11.700;59.350,-;Ørestads Boulevard, 2300 København, København S - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/79m2-3-room-id-5226362;
2 room apartment of 58 m²;12.495;63.125,-;Amager Strandvej, 2300 København, København S - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/58m2-2-room-id-5226346;
2 room apartment of 65 m²;11.800;47.790,-;Richard Mortensens Vej, 2300 København, København S - 10th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/65m2-2-room-id-5226342;
3 room apartment of 103 m²;13.300;54.400,-;Hannemanns Allé, 2300 København, København S - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/103m2-3-room-id-4610410;
4 room apartment of 115 m²;14.600;74.200,-;Ørestads Boulevard, 2300 København, København S - 7th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/115m2-4-room-id-5226329;
3 room apartment of 98 m²;14.800;74.900,-;Montagehalsvej , 2500 København, Valby - 4th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/98m2-3-room-id-5226307;
2 room apartment of 68 m²;13.500;54.940,-;Ingrid Marievej, 2500 København, Valby - 16th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/68m2-2-room-id-5226303;
4 room apartment of 105 m²;14.499;59.196,-;Else Alfelts Vej, 2300 København, København S - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/105m2-4-room-id-5226270;
4 room apartment of 98 m²;13.900;56.700,-;Else Alfelts Vej, 2300 København, København S - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/98m2-4-room-id-5226262;
4 room apartment of 106 m²;14.499;59.296,-;Else Alfelts Vej, 2300 København, København S - 4th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/106m2-4-room-id-5226261;
