Type;Rent;Move in price;Address;Link
1 værelses lejlighed på 28 m²;7.500;37.800;Jorisvej, 2300 København, København S - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5186701
1 værelses lejlighed på 28 m²;7.500;37.800;Jorisvej, 2300 København, København S - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5186691
1 værelses lejlighed på 28 m²;7.500;37.800;Jorisvej, 2300 København, København S - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5186705
1 værelses lejlighed på 34 m²;7.500;38.300;Amagerbrogade, 2300 København, København S - 1. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/34m2-1-vaer-id-5192458
1 værelses lejlighed på 28 m²;7.600;38.300;Jorisvej, 2300 København, København S - 3. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5186694
1 værelses lejlighed på 28 m²;7.600;38.300;Jorisvej, 2300 København, København S - 3. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5186697
1 værelses lejlighed på 28 m²;7.600;38.300;Jorisvej, 2300 København, København S - 3. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5186700
1 værelses lejlighed på 28 m²;7.600;38.300;Jorisvej, 2300 København, København S - 3. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5186756
1 værelses lejlighed på 26 m²;7.700;38.940;Teglværksgade, 2100 København, København Ø - Stuen;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/26m2-1-vaer-id-5186664
1 værelses lejlighed på 45 m²;7.800;39.600;Lyngbyvej, 2100 København, København Ø - 3. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/45m2-1-vaer-id-5189919
1 værelses lejlighed på 27 m²;7.800;39.700;Holger Danskes Vej, 2000 København, Frederiksberg - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/27m2-1-vaer-id-5201045
1 værelses lejlighed på 31 m²;7.900;39.940;Teglværksgade, 2100 København, København Ø - 1. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/31m2-1-vaer-id-5191563
1 værelses lejlighed på 30 m²;7.900;39.940;Teglværksgade, 2100 København, København Ø - 3. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/30m2-1-vaer-id-5201749
1 værelses lejlighed på 31 m²;7.900;39.940;Teglværksgade, 2100 København, København Ø - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/31m2-1-vaer-id-5186557
1 værelses lejlighed på 44 m²;8.000;40.250;Søndre Fasanvej, 2500 København, Valby - 3. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/44m2-1-vaer-id-5195643
1 værelses lejlighed på 30 m²;7.995;40.415;Teglværksgade, 2100 København, København Ø - 4. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/30m2-1-vaer-id-5186553
